"homename"	"homecontinent"	"homecountry"	"homelat"	"homelon"	"travellon"	"travellat"
"Washington DC"	"North America"	"United States of America"	38.9071923	-77.0368707	57.31056432	-20.46653899
"London, England"	"Europe"	"United Kingdom"	51.5073509	-0.1277583	24.75848436	59.43917319
"Montreal / Dominican Republic"	"North America"	"Canada"	45.5005628	-73.5744579	-70.44904272	19.78230394
"Venice, CA & San Quintin, Mex"	"North America"	"United States of America"	33.9850469	-118.4694832	-120.631	35.1103
"Venice, CA & San Quintin, Mex"	"North America"	"United States of America"	33.9850469	-118.4694832	-118.962	34.0531
"Monterrey México"	"South America"	"Mexico"	25.6866142	-100.3161126	-105.41469446	20.90161556
"Barcelona"	"Europe"	"Spain"	41.3850639	2.1734035	11.58776301	48.14347054
"Bologna"	"Europe"	"Italy"	44.494887	11.3426163	-9.64514943	30.45551527
"Bologna"	"Europe"	"Italy"	44.494887	11.3426163	-9.71071243	30.54466953
"Bologna"	"Europe"	"Italy"	44.494887	11.3426163	-9.64514943	30.45551527
"Gijon, Spain"	"Europe"	"Spain"	43.5322015	-5.6611195	-5.65566	43.54093
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-8.53333	37.1333
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-7.99438817	37.00754603
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-7.93333	37.0167
"Portugal"	"Europe"	"Portugal"	39.399872	-8.224454	-8.53333	37.1167
"Oxford, England"	"Europe"	"United Kingdom"	51.7520209	-1.2577263	-8.74105654	37.08692746
"Barcelona, España // Hawaii"	"Europe"	"Spain"	41.412997	2.1070086	2.1856404	41.3824734
"jordan, Amman"	"Asia"	"Jordan"	31.9453666	35.9283716	35.9072463	31.9587367
